1,273,180,0,
, X1, Y1, X2, Y2, X3, Y3, X4, Y4, X5, Y5, X6, Y6, X7, Y7, X8, Y8, X9, Y9, X10, Y10, X11, Y11, X12, Y12, X13, Y13, X14, Y14, X15, Y15, X16, Y16, X17, Y17, X18, Y18, X19, Y19, X20, Y20, X21, Y21, X22, Y22, X23, Y23, X24, Y24, X25, Y25, X26, Y26, X27, Y27, X28, Y28, X29, Y29, X30, Y30, X31, Y31, X32, Y32, X33, Y33, X34, Y34, X35, Y35, X36, Y36, X37, Y37, X38, Y38, X39, Y39, X40, Y40, X41, Y41, X42, Y42, X43, Y43, X44, Y44, X45, Y45, X46, Y46, X47, Y47, X48, Y48, X49, Y49, X50, Y50, X51, Y51, X52, Y52, X53, Y53, X54, Y54, X55, Y55, X56, Y56, X57, Y57, X58, Y58, X59, Y59, X60, Y60, X61, Y61, X62, Y62, X63, Y63, X64, Y64, X65, Y65, X66, Y66, X67, Y67, X68, Y68, X69, Y69, X70, Y70, X71, Y71, X72, Y72, X73, Y73, X74, Y74, X75, Y75, X76, Y76, X77, Y77, X78, Y78, X79, Y79, X80, Y80, X81, Y81, X82, Y82, X83, Y83, X84, Y84, X85, Y85, X86, Y86, X87, Y87, X88, Y88, X89, Y89, X90, Y90
0.20180108.T1.BLD.F3.0f#18(1) ,22.78940,19.68320 ,39.14460,22.74190 ,57.82940,20.93520 ,25.21420,20.41220 ,22.75770,19.69910 ,23.32830,20.80840 ,24.35840,21.52160 ,25.54700,21.93360 ,26.70390,22.36150 ,27.89250,22.77360 ,29.12860,22.88450 ,30.38060,22.90040 ,31.63260,22.93210 ,32.88460,22.94790 ,34.13660,22.90040 ,35.38860,22.83700 ,36.62470,22.77360 ,37.87670,22.75770 ,39.12870,22.77360 ,39.19210,22.80530 ,40.00040,22.96380 ,40.82440,23.05880 ,41.64850,23.12220 ,42.47260,23.18560 ,43.29670,23.23320 ,44.12080,23.28070 ,44.94490,23.32830 ,45.76900,23.39160 ,46.59310,23.45500 ,47.41720,23.50260 ,48.24130,23.56600 ,49.06540,23.58180 ,49.88950,23.59770 ,50.72940,23.59770 ,51.55350,23.58180 ,52.37760,23.55010 ,53.20170,23.48670 ,54.02580,23.43920 ,54.84990,23.40750 ,55.62650,23.13810 ,56.32380,22.69430 ,57.03700,22.28230 ,57.68670,21.75930 ,57.84520,20.95110 ,57.87690,20.85600 ,57.48070,19.88920 ,56.54570,19.28700 ,55.49970,18.92250 ,54.42200,18.70060 ,53.31270,18.60560 ,52.20330,18.58970 ,51.09400,18.58970 ,49.98460,18.63720 ,48.87520,18.60560 ,47.76590,18.58970 ,46.65650,18.60560 ,45.54720,18.63720 ,44.43780,18.65310 ,43.32840,18.62140 ,42.21910,18.57390 ,41.10970,18.51050 ,40.00040,18.46290 ,38.89100,18.39950 ,37.78160,18.38370 ,36.67230,18.32030 ,35.56290,18.27270 ,34.45360,18.20940 ,33.34420,18.20940 ,32.23480,18.32030 ,31.14130,18.36780 ,30.03200,18.27270 ,28.92260,18.22520 ,27.81320,18.17770 ,26.70390,18.17770 ,25.59450,18.22520 ,24.50100,18.36780 ,23.48670,18.79570 ,22.77360,19.61980 ,57.79770,20.90350 ,54.21600,20.88770 ,50.61850,20.88770 ,47.03690,20.87180 ,43.45520,21.06200 ,39.87360,21.22050 ,36.30780,21.55330 ,32.72610,21.61670 ,25.21420,21.23630 ,26.38690,20.39640 ,25.23000,19.44550 ,24.43760,20.44390 
0.20180108.T1.BLD.F3.0f#19(2) ,14.40770,21.83970 ,29.79960,24.15060 ,52.36680,23.20920 ,16.64730,22.51020 ,14.36490,21.86820 ,15.10660,22.69560 ,16.10520,23.26620 ,17.21790,23.56580 ,18.34480,23.77980 ,19.47170,23.99370 ,20.61290,24.12210 ,21.75410,24.17920 ,22.89530,24.16490 ,24.05080,24.16490 ,25.19200,24.15060 ,26.34750,24.15060 ,27.48870,24.13640 ,28.64410,24.13640 ,29.78530,24.20770 ,29.85660,24.17920 ,30.75530,24.50730 ,31.71110,24.60710 ,32.68110,24.66420 ,33.63690,24.67850 ,34.59260,24.69270 ,35.56260,24.73550 ,36.51840,24.79260 ,37.47420,24.83540 ,38.42990,24.89240 ,39.39990,24.93520 ,40.35570,25.00650 ,41.31140,25.12070 ,42.26720,25.17770 ,43.23720,25.20630 ,44.19300,25.22050 ,45.14870,25.24910 ,46.11870,25.29180 ,47.07450,25.24910 ,48.03030,25.16350 ,48.94320,24.87820 ,49.88470,24.66420 ,50.76910,24.27900 ,51.65360,23.90810 ,52.30980,23.20920 ,52.35260,23.12360 ,51.39680,22.41030 ,50.38400,21.79690 ,49.28560,21.32620 ,48.15860,20.94100 ,47.03170,20.59870 ,45.84770,20.55590 ,44.67800,20.75560 ,43.50820,20.68430 ,42.32430,20.64150 ,41.12600,20.61290 ,39.94200,20.61290 ,38.74370,20.62720 ,37.55970,20.65570 ,36.37570,20.69850 ,35.17750,20.75560 ,33.99350,20.79840 ,32.79520,20.84120 ,31.61120,20.86970 ,30.42720,20.84120 ,29.22900,20.76980 ,28.04500,20.72700 ,26.86100,20.71280 ,25.66270,20.71280 ,24.47870,20.79840 ,23.29470,20.85540 ,22.09650,20.89820 ,20.91250,20.85540 ,19.75700,20.61290 ,18.58730,20.37040 ,17.40330,20.27060 ,16.23360,20.41320 ,15.12090,20.82690 ,14.43620,21.76840 ,52.25270,23.16640 ,48.23000,23.03800 ,44.20720,22.82400 ,40.19880,22.55300 ,36.17600,22.32470 ,32.16760,22.65280 ,28.14480,22.78120 ,24.12210,22.92390 ,16.51890,23.20920 ,17.84550,22.79550 ,16.88980,21.48310 ,15.90550,22.39610 
0.20180108.T1.BLD.F3.0f#20(3) ,20.43200,20.55310 ,33.92700,23.99130 ,57.34280,21.09840 ,22.47670,21.67390 ,20.41680,20.56830 ,20.94690,21.46190 ,21.70420,22.18890 ,22.59780,22.71900 ,23.55200,23.12790 ,24.53650,23.49140 ,25.55130,23.76410 ,26.56610,23.99130 ,27.61120,24.12760 ,28.64110,24.18820 ,29.68620,24.20330 ,30.73120,24.20330 ,31.77630,24.15790 ,32.82140,24.09730 ,33.86650,23.99130 ,34.00280,24.03670 ,35.00240,23.94580 ,35.98690,23.88520 ,36.98650,23.97610 ,37.98620,24.05180 ,38.98580,24.11240 ,39.98540,24.12760 ,40.96990,24.08210 ,41.96960,24.05180 ,42.96920,24.06700 ,43.96880,24.06700 ,44.96850,24.06700 ,45.96810,23.97610 ,46.95260,23.91550 ,47.95220,23.88520 ,48.95190,23.82470 ,49.95150,23.74890 ,50.93600,23.59750 ,51.92050,23.44600 ,52.90500,23.27940 ,53.85920,22.99160 ,54.81340,22.68870 ,55.70700,22.24950 ,56.55520,21.70420 ,57.34280,21.09840 ,57.37300,21.05290 ,56.43400,20.35620 ,55.54040,19.61410 ,54.44990,19.23540 ,53.31390,18.97790 ,52.14770,18.85680 ,50.99660,18.93250 ,49.83030,18.96280 ,48.66410,19.02340 ,47.51300,18.99310 ,46.34680,18.91740 ,45.18050,18.93250 ,44.01430,18.96280 ,42.86320,18.97790 ,41.69690,19.09910 ,40.69730,19.68980 ,39.60680,20.08360 ,38.45570,19.97760 ,37.30460,19.84130 ,36.15350,19.62920 ,35.00240,19.82610 ,33.85130,19.94730 ,32.68510,20.00790 ,31.53400,20.15930 ,30.38290,20.26530 ,29.21660,20.20480 ,28.06550,20.06850 ,26.94470,19.75040 ,25.77850,19.78070 ,24.65770,19.50800 ,23.49140,19.49290 ,22.32520,19.44750 ,21.17410,19.62920 ,20.40170,20.47740 ,57.34280,21.06810 ,53.51080,21.11350 ,49.67890,21.17410 ,45.84690,21.21950 ,41.99990,21.31040 ,38.22850,21.97680 ,34.44200,22.53720 ,30.62520,22.91590 ,22.17370,22.32520 ,23.61260,22.14350 ,22.82500,20.73490 ,21.79510,21.28010 
0.20180108.T1.BLD.F3.0f#21(4) ,17.65900,19.87890 ,32.16720,22.39960 ,54.06560,21.79810 ,20.03650,19.97920 ,17.65900,19.89330 ,18.30350,20.76690 ,19.20580,21.39710 ,20.23700,21.72650 ,21.29680,22.02720 ,22.35660,22.25640 ,23.44510,22.35660 ,24.53360,22.31370 ,25.63640,22.25640 ,26.72490,22.18480 ,27.81330,22.11320 ,28.90180,22.12750 ,30.00460,22.17050 ,31.09310,22.24210 ,32.16720,22.41390 ,32.19590,22.39960 ,33.08380,22.67170 ,34.00040,22.84360 ,34.91700,23.00110 ,35.83360,23.15870 ,36.76460,23.15870 ,37.69550,23.24460 ,38.62640,23.33050 ,39.55740,23.41650 ,40.47400,23.50240 ,41.40490,23.50240 ,42.33580,23.50240 ,43.26680,23.60270 ,44.18340,23.71720 ,45.11430,23.83180 ,46.04520,23.88910 ,46.97620,23.81750 ,47.89280,23.73160 ,48.82370,23.60270 ,49.74030,23.45940 ,50.65690,23.31620 ,51.57350,23.13000 ,52.41850,22.71470 ,53.23490,22.27070 ,54.02260,21.78380 ,54.07990,21.72650 ,53.10600,21.13930 ,52.08910,20.59500 ,51.01500,20.19400 ,49.91220,19.89330 ,48.79510,19.66410 ,47.66360,19.43500 ,46.51790,19.40630 ,45.38640,19.36330 ,44.24070,19.33470 ,43.09490,19.29170 ,41.94910,19.26310 ,40.80340,19.23440 ,39.65760,19.23440 ,38.51190,19.19150 ,37.36610,19.16280 ,36.22030,19.13420 ,35.07460,19.11990 ,33.92880,19.03390 ,32.79740,18.93370 ,31.65160,18.80480 ,30.50590,18.73320 ,29.36010,18.71890 ,28.22870,18.70450 ,27.08290,18.59000 ,25.93710,18.48970 ,24.80570,18.41810 ,23.65990,18.34650 ,22.54280,18.13170 ,21.41140,17.90250 ,20.28000,17.97410 ,19.16280,18.23190 ,18.28920,18.94800 ,17.70200,19.87890 ,54.07990,21.76940 ,50.15560,21.71220 ,46.23140,21.51160 ,42.32150,21.29680 ,38.39730,21.06770 ,34.47310,20.86720 ,30.54880,20.70960 ,26.63890,20.75260 ,20.02220,20.91010 ,21.11060,19.99350 ,20.02220,19.06260 ,19.20580,20.02220 
0.20180108.T2.BLD.F3.3f#22(5) ,17.08530,17.94310 ,31.75200,21.02270 ,52.17000,19.61650 ,19.37740,18.63220 ,17.04310,17.99940 ,17.59160,18.96960 ,18.51970,19.60240 ,19.56020,20.03840 ,20.61490,20.41800 ,21.66950,20.78360 ,22.78040,21.02270 ,23.87730,21.23360 ,25.00220,21.34610 ,26.11310,21.40240 ,27.23810,21.37420 ,28.36310,21.34610 ,29.48800,21.21960 ,30.59890,21.12110 ,31.72390,21.06490 ,31.82230,21.05080 ,32.68010,21.14920 ,33.55190,21.26170 ,34.40970,21.38830 ,35.28160,21.47270 ,36.13930,21.50080 ,37.01120,21.48670 ,37.88300,21.52890 ,38.75490,21.58520 ,39.61270,21.68360 ,40.48450,21.75390 ,41.35630,21.78200 ,42.22820,21.78200 ,43.10000,21.81020 ,43.97190,21.82420 ,44.82970,21.76800 ,45.70150,21.71170 ,46.55930,21.59920 ,47.43110,21.48670 ,48.28890,21.33210 ,49.14670,21.17740 ,49.99040,20.99460 ,50.79190,20.67110 ,51.56540,20.27740 ,52.18410,19.65870 ,52.18410,19.53210 ,51.67790,18.57590 ,50.70760,18.04150 ,49.69510,17.59160 ,48.59830,17.35250 ,47.51550,17.12750 ,46.40460,16.95880 ,45.29370,16.88850 ,44.18280,16.83220 ,43.05780,16.84630 ,41.96100,17.01500 ,40.85010,17.07130 ,39.73920,17.08530 ,38.61430,17.08530 ,37.50340,17.04310 ,36.44870,17.25410 ,35.33780,17.22600 ,34.21280,17.18380 ,33.10190,17.16970 ,31.97700,17.18380 ,30.86610,17.18380 ,29.74110,17.18380 ,28.63020,17.18380 ,27.51930,17.21190 ,26.39440,17.21190 ,25.43820,17.38060 ,24.32730,17.32440 ,23.25850,17.02910 ,22.17580,16.79000 ,21.06490,16.62130 ,19.95400,16.62130 ,18.84310,16.67750 ,17.84470,17.15560 ,17.07130,17.95720 ,52.09970,19.57430 ,48.31700,19.30710 ,44.53440,19.18060 ,40.75170,19.06810 ,36.96900,18.95560 ,33.20040,19.33530 ,29.43180,19.79930 ,25.64910,19.89770 ,19.16650,19.41960 ,20.41800,19.02590 ,19.70090,17.71810 ,18.54780,18.37900 
0.20180108.T2.BLD.F3.3f#23(6) ,19.20190,21.24170 ,34.89170,24.21710 ,56.94630,22.69880 ,21.62520,21.93190 ,19.17130,21.25710 ,19.76940,22.22330 ,20.70500,22.95950 ,21.79390,23.46560 ,22.94420,23.78770 ,24.09440,24.09440 ,25.27540,24.27850 ,26.47170,24.40120 ,27.66790,24.44720 ,28.86420,24.43180 ,30.06050,24.40120 ,31.25680,24.33980 ,32.45310,24.27850 ,33.64940,24.23250 ,34.84570,24.21710 ,34.93770,24.18640 ,35.87320,24.32450 ,36.82410,24.49320 ,37.75970,24.63120 ,38.71060,24.67720 ,39.66150,24.73860 ,40.59700,24.67720 ,41.51730,24.72320 ,42.45280,24.90730 ,43.37300,25.01460 ,44.32390,25.16800 ,45.27480,25.19870 ,46.21040,25.35210 ,47.16130,25.39810 ,48.11220,25.38270 ,49.06310,25.42870 ,50.01400,25.33670 ,50.94950,25.24470 ,51.90040,25.15270 ,52.83600,24.95330 ,53.75620,24.70790 ,54.64570,24.35520 ,55.48930,23.92570 ,56.24080,23.32760 ,56.94630,22.69880 ,57.02300,22.62210 ,56.10270,21.83990 ,55.07520,21.21110 ,53.97090,20.70500 ,52.97400,20.01480 ,51.88510,19.57000 ,50.70410,19.35530 ,49.49250,19.20190 ,48.29620,19.09460 ,47.08460,19.00250 ,45.87300,18.95650 ,44.67670,18.92590 ,43.46510,18.89520 ,42.25340,18.92590 ,41.04180,18.95650 ,39.83020,19.00250 ,38.61860,19.00250 ,37.42230,19.00250 ,36.21070,19.01790 ,34.99900,19.04860 ,33.78740,18.98720 ,32.57580,18.92590 ,31.37950,19.00250 ,30.16790,19.07920 ,28.95630,19.17130 ,27.76000,19.15590 ,26.54830,19.27860 ,25.33670,19.30930 ,24.14040,19.27860 ,22.92880,19.24790 ,21.71720,19.34000 ,20.53620,19.55470 ,19.70800,20.30620 ,19.24790,21.24170 ,56.97700,22.66810 ,52.82060,22.71410 ,48.66430,22.76010 ,44.49260,22.82150 ,40.41300,22.25400 ,36.27200,22.51470 ,32.13100,22.76010 ,27.99000,22.99020 ,21.47180,22.79080 ,22.71410,22.17730 ,21.80920,20.96570 ,20.79700,21.74790 
0.20180108.T2.BLD.F3.3f#24(7) ,18.36980,20.28420 ,31.94620,23.06090 ,51.68970,21.38030 ,21.51180,20.62040 ,18.36980,20.29880 ,18.96900,21.04420 ,19.90430,21.45340 ,20.85420,21.83330 ,21.83330,22.09640 ,22.81250,22.34480 ,23.80620,22.57860 ,24.81460,22.69550 ,25.82290,22.82710 ,26.83130,22.90010 ,27.85430,22.98780 ,28.86270,23.01710 ,29.88560,23.04630 ,30.89400,23.04630 ,31.91700,23.04630 ,31.96080,23.04630 ,32.80840,23.14860 ,33.65600,23.26550 ,34.48900,23.38240 ,35.33670,23.47010 ,36.18430,23.48470 ,37.04650,23.54320 ,37.89410,23.55780 ,38.72710,23.60160 ,39.57470,23.73310 ,40.42230,23.79160 ,41.26990,23.82080 ,42.11750,23.82080 ,42.97980,23.77700 ,43.82740,23.79160 ,44.67500,23.79160 ,45.52260,23.77700 ,46.37020,23.63080 ,47.21780,23.57240 ,48.05080,23.41160 ,48.86920,23.17780 ,49.67300,22.88550 ,50.43290,22.50560 ,51.11980,22.00870 ,51.70430,21.39490 ,51.71890,21.30720 ,50.81290,20.73730 ,49.84840,20.26960 ,48.85460,19.88970 ,47.81700,19.62660 ,46.76480,19.40740 ,45.71260,19.26130 ,44.67500,19.37820 ,43.60820,19.33430 ,42.54140,19.29050 ,41.51840,19.27590 ,40.49540,19.55350 ,39.44320,19.80200 ,38.40560,20.02120 ,37.35340,19.86040 ,36.31580,19.59740 ,35.27820,19.34890 ,34.24060,19.08590 ,33.17380,19.18820 ,32.16540,19.40740 ,31.15700,19.04200 ,30.09020,19.01280 ,29.02340,19.01280 ,27.95660,18.96900 ,26.87510,18.98360 ,25.80830,18.96900 ,24.74150,18.89590 ,23.68930,18.69130 ,22.63710,18.47210 ,21.58490,18.42830 ,20.51810,18.45750 ,19.46580,18.67670 ,18.72050,19.36360 ,18.36980,20.28420 ,51.61660,21.33640 ,48.21160,21.48260 ,44.77730,21.39490 ,41.35760,21.29260 ,37.92330,21.20490 ,34.50370,21.40950 ,31.08400,21.57030 ,27.66430,21.59950 ,21.49720,21.39490 ,22.60790,20.70800 ,21.55570,19.75810 ,20.48880,20.59110 
0.20180108.T2.BLD.F3.3f#25(8) ,21.85710,22.08460 ,36.40320,25.36090 ,58.62430,21.78120 ,23.69240,22.99470 ,21.82680,22.17560 ,22.25150,23.13120 ,23.10090,23.88960 ,24.10200,24.39010 ,25.17890,24.75420 ,26.21030,25.17890 ,27.33270,25.39120 ,28.45520,25.55810 ,29.57760,25.63390 ,30.71520,25.66430 ,31.85280,25.66430 ,32.99040,25.64910 ,34.11280,25.60360 ,35.25040,25.52770 ,36.37290,25.39120 ,36.44870,25.37610 ,37.40430,25.42160 ,38.37500,25.43670 ,39.33060,25.43670 ,40.28620,25.43670 ,41.25700,25.37610 ,42.21250,25.30020 ,43.16810,25.23960 ,44.12370,25.22440 ,45.09450,25.19400 ,46.05000,25.13340 ,47.00560,25.08790 ,47.96120,25.04240 ,48.93200,24.96650 ,49.88760,24.87550 ,50.82800,24.75420 ,51.79870,24.69350 ,52.73910,24.57220 ,53.66440,24.32950 ,54.60480,24.10200 ,55.53000,23.81380 ,56.42500,23.49520 ,57.27440,23.05540 ,57.98730,22.50930 ,58.63950,21.81160 ,58.66980,21.70540 ,57.75970,21.02280 ,56.72830,20.50710 ,55.60590,20.26440 ,54.48350,20.06730 ,53.33070,20.02180 ,52.17790,20.05210 ,51.04030,20.03690 ,49.88760,20.06730 ,48.73480,20.08240 ,47.58200,20.05210 ,46.44440,20.08240 ,45.29160,20.20380 ,44.15400,20.31000 ,43.00130,20.43130 ,41.86370,20.52230 ,40.71090,20.59810 ,39.57330,20.67400 ,38.45090,20.96220 ,37.32840,21.02280 ,36.19080,21.15940 ,35.03810,21.22000 ,33.90050,21.35650 ,32.83870,21.75090 ,31.70110,21.76610 ,30.56350,21.73570 ,29.42590,21.56890 ,28.30350,21.40200 ,27.16590,21.22000 ,26.02830,21.25040 ,24.89070,21.35650 ,23.75310,21.20490 ,22.63070,21.25040 ,21.84190,22.06940 ,58.63950,21.78120 ,54.55930,21.99360 ,50.46390,22.20600 ,46.38370,22.40310 ,42.30360,22.70650 ,38.29920,23.43460 ,34.27970,24.20810 ,30.21470,24.20810 ,23.43460,23.55590 ,24.79970,23.51040 ,23.95030,22.37280 ,23.02500,22.70650 
0.20180108.T3.BLD.F3.6f#26(9) ,19.68910,22.89820 ,32.57560,26.04040 ,57.84720,22.98170 ,21.84520,23.60020 ,19.70580,22.93160 ,20.10690,23.78400 ,20.87580,24.41920 ,21.76160,24.88710 ,22.68090,25.27160 ,23.63360,25.55570 ,24.61970,25.68940 ,25.62260,25.77300 ,26.62540,25.89000 ,27.61150,25.95680 ,28.61440,26.02370 ,29.61720,26.02370 ,30.60330,25.99030 ,31.60620,26.00700 ,32.60900,26.04040 ,32.67590,26.04040 ,33.76230,26.05710 ,34.84870,26.04040 ,35.91840,26.00700 ,37.00480,25.94010 ,38.07450,25.85660 ,39.14420,25.63930 ,40.21390,25.52230 ,41.30030,25.47210 ,42.38670,25.38860 ,43.45640,25.33840 ,44.54280,25.32170 ,45.62920,25.33840 ,46.69890,25.40530 ,47.78530,25.42200 ,48.87170,25.45540 ,49.94140,25.52230 ,51.02780,25.57240 ,52.11430,25.48890 ,53.16720,25.30500 ,54.25360,25.18800 ,55.28990,24.88710 ,56.17580,24.25200 ,57.07830,23.68370 ,57.88060,22.94830 ,57.88060,23.06530 ,56.97800,22.31320 ,55.99190,21.64460 ,54.87210,21.19340 ,53.71880,20.90920 ,52.51540,20.75880 ,51.32870,20.64180 ,50.12530,20.54150 ,48.92190,20.50810 ,47.73520,20.54150 ,46.53180,20.62510 ,45.32840,20.64180 ,44.12500,20.64180 ,42.92160,20.62510 ,41.71810,20.64180 ,40.53150,20.65850 ,39.32800,20.67520 ,38.12460,20.67520 ,36.92120,20.65850 ,35.75120,20.82560 ,34.54780,20.80890 ,33.34440,20.89250 ,32.14100,20.97610 ,30.93760,21.00950 ,29.75090,20.99280 ,28.54750,20.95940 ,27.34410,20.92590 ,26.14070,20.89250 ,24.93730,20.89250 ,23.73390,20.92590 ,22.53050,20.89250 ,21.44410,21.19340 ,20.44120,21.86190 ,19.78940,22.86480 ,57.81370,22.96500 ,54.25360,23.03190 ,50.71030,23.14890 ,47.16690,23.23250 ,43.60680,23.29930 ,40.06350,23.41630 ,36.55350,24.03470 ,33.02690,24.40240 ,21.89530,24.56960 ,23.13220,23.73390 ,21.86190,22.83130 ,21.12650,23.71720 
0.20180108.T3.BLD.F3.6f#27(10) ,20.24290,23.27520 ,36.25690,26.38950 ,58.86010,23.96360 ,22.32450,23.63580 ,20.21010,23.34080 ,20.84940,24.35700 ,21.78360,25.14380 ,22.91460,25.61910 ,24.06200,26.06170 ,25.22570,26.47150 ,26.45510,26.61900 ,27.66800,26.70090 ,28.89730,26.78290 ,30.12670,26.78290 ,31.35600,26.75010 ,32.58530,26.66820 ,33.81460,26.56980 ,35.04400,26.47150 ,36.27330,26.42230 ,36.37160,26.43870 ,37.33870,26.48790 ,38.30580,26.56980 ,39.25640,26.81570 ,40.19070,26.86480 ,41.17420,26.84850 ,42.14130,26.86480 ,43.10830,26.89760 ,44.09180,26.96320 ,45.05890,27.02880 ,46.02590,27.06150 ,46.99300,27.09430 ,47.97650,27.12710 ,48.94350,27.14350 ,49.91060,27.15990 ,50.87770,27.02880 ,51.84470,26.94680 ,52.79540,26.78290 ,53.74610,26.58620 ,54.68040,26.32390 ,55.61470,26.01250 ,56.49980,25.63550 ,57.36850,25.19300 ,58.12250,24.57010 ,58.87650,23.96360 ,58.92560,23.88170 ,57.87660,23.25880 ,56.77840,22.73430 ,55.63110,22.30820 ,54.45090,22.02950 ,53.23800,21.86560 ,52.02500,21.76720 ,50.81210,21.80000 ,49.59920,21.76720 ,48.38620,21.63610 ,47.17330,21.80000 ,45.96040,21.83280 ,44.74740,21.83280 ,43.51810,21.84920 ,42.30520,21.86560 ,41.09220,21.96390 ,39.87930,21.96390 ,38.66640,22.11150 ,37.45340,22.09510 ,36.24050,22.24260 ,35.02760,22.35730 ,33.81460,22.43930 ,32.60170,22.40650 ,31.37240,22.35730 ,30.17580,22.48850 ,28.97930,22.40650 ,27.76640,22.22620 ,26.58620,21.96390 ,25.42240,21.60330 ,24.24230,21.25910 ,23.04570,21.29190 ,21.89840,21.68530 ,20.81660,22.25900 ,20.22650,23.27520 ,58.84370,23.91450 ,54.68040,24.20950 ,50.50070,24.16030 ,46.32100,24.09480 ,42.17400,23.79970 ,38.04350,24.32420 ,33.89660,24.73400 ,29.73330,24.96350 ,22.07870,24.55370 ,23.47190,24.09480 ,22.58680,22.70150 ,21.65250,23.50470 
